"Location","Site","Time","Before.After.x","Habitat","AD","JUV","Prop_J"
"Botany Bay","AR3","1/05/2008","After","AR",7,2,0.222222222222222
"Botany Bay","AR3","12/02/2008","After","AR",0,3,1
"Botany Bay","AR3","15/01/2008","After","AR",10,0,0
"Botany Bay","AR3","15/02/2007","After","AR",0,16,1
"Botany Bay","AR3","15/02/2008","After","AR",7,3,0.3
"Botany Bay","AR3","17/05/2007","After","AR",11,26,0.702702702702703
"Botany Bay","AR3","22/03/2007","After","AR",17,1,0.0555555555555556
"Botany Bay","AR3","23/01/2007","After","AR",0,0,NA
"Botany Bay","AR3","23/02/2007","After","AR",0,8,1
"Botany Bay","AR3","23/05/2008","After","AR",0,9,1
"Botany Bay","AR3","25/01/2008","After","AR",25,2,0.0740740740740741
"Botany Bay","AR3","26/03/2008","After","AR",16,10,0.384615384615385
"Botany Bay","AR3","27/06/2008","After","AR",0,6,1
"Botany Bay","AR3","28/02/2007","After","AR",9,0,0
"Botany Bay","AR3","3/04/2007","After","AR",6,11,0.647058823529412
"Botany Bay","AR3","4/05/2007","After","AR",7,27,0.794117647058823
"Botany Bay","AR3","5/01/2007","After","AR",0,0,NA
"Botany Bay","AR3","6/02/2008","After","AR",18,4,0.181818181818182
"Botany Bay","AR3","8/05/2007","After","AR",8,22,0.733333333333333
"Botany Bay","AR4","1/05/2008","After","AR",5,2,0.285714285714286
"Botany Bay","AR4","12/02/2008","After","AR",1,12,0.923076923076923
"Botany Bay","AR4","15/01/2008","After","AR",0,0,NA
"Botany Bay","AR4","15/02/2007","After","AR",0,2,1
"Botany Bay","AR4","15/02/2008","After","AR",5,0,0
"Botany Bay","AR4","17/05/2007","After","AR",0,25,1
"Botany Bay","AR4","22/03/2007","After","AR",0,28,1
"Botany Bay","AR4","23/01/2007","After","AR",0,1,1
"Botany Bay","AR4","23/02/2007","After","AR",0,4,1
"Botany Bay","AR4","23/05/2008","After","AR",0,0,NA
"Botany Bay","AR4","25/01/2008","After","AR",0,0,NA
"Botany Bay","AR4","26/03/2008","After","AR",0,8,1
"Botany Bay","AR4","27/06/2008","After","AR",0,2,1
"Botany Bay","AR4","28/02/2007","After","AR",0,8,1
"Botany Bay","AR4","3/04/2007","After","AR",0,6,1
"Botany Bay","AR4","31/05/2007","After","AR",0,23,1
"Botany Bay","AR4","4/05/2007","After","AR",0,16,1
"Botany Bay","AR4","5/01/2007","After","AR",0,1,1
"Botany Bay","AR4","8/05/2007","After","AR",0,14,1
"Botany Bay","AR5","1/05/2008","After","AR",0,1,1
"Botany Bay","AR5","12/02/2008","After","AR",1,1,0.5
"Botany Bay","AR5","15/01/2008","After","AR",0,1,1
"Botany Bay","AR5","15/02/2007","After","AR",0,4,1
"Botany Bay","AR5","15/02/2008","After","AR",0,0,NA
"Botany Bay","AR5","17/05/2007","After","AR",0,3,1
"Botany Bay","AR5","22/03/2007","After","AR",0,4,1
