Location,Site,Time,Before.After.x,Habitat,AD,JUV,Prop_J
Botany Bay,AR3,5/01/2007,After 1,AR,0,0,NA
Botany Bay,AR4,5/01/2007,After 1,AR,0,1,1
Botany Bay,AR5,5/01/2007,After 1,AR,0,0,NA
Botany Bay,RC1,5/01/2007,After 1,NR,0,0,NA
Botany Bay,RC2,5/01/2007,After 1,NR,0,0,NA
Botany Bay,AR3,23/01/2007,After 1,AR,0,0,NA
Botany Bay,AR4,23/01/2007,After 1,AR,0,1,1
Botany Bay,AR5,23/01/2007,After 1,AR,0,1,1
Botany Bay,AR6,23/01/2007,After 1,AR,0,2,1
Botany Bay,RC1,23/01/2007,After 1,NR,0,0,NA
Botany Bay,RC2,23/01/2007,After 1,NR,0,0,NA
Botany Bay,RC3,23/01/2007,After 1,NR,1,0,0
Botany Bay,AR3,15/02/2007,After 1,AR,0,16,1
Botany Bay,AR4,15/02/2007,After 1,AR,0,2,1
Botany Bay,AR5,15/02/2007,After 1,AR,0,4,1
Botany Bay,AR6,15/02/2007,After 1,AR,1,1,0.5
Botany Bay,RC1,15/02/2007,After 1,NR,0,1,1
Botany Bay,RC2,15/02/2007,After 1,NR,0,0,NA
Botany Bay,AR3,23/02/2007,After 1,AR,0,8,1
Botany Bay,AR4,23/02/2007,After 1,AR,0,4,1
Botany Bay,AR6,23/02/2007,After 1,AR,0,1,1
Botany Bay,RC1,23/02/2007,After 1,NR,0,1,1
Botany Bay,RC2,23/02/2007,After 1,NR,0,0,NA
Botany Bay,RC3,23/02/2007,After 1,NR,0,0,NA
Botany Bay,AR3,28/02/2007,After 1,AR,9,0,0
Botany Bay,AR4,28/02/2007,After 1,AR,0,8,1
Botany Bay,AR5,28/02/2007,After 1,AR,0,0,NA
Botany Bay,AR6,28/02/2007,After 1,AR,0,0,NA
Botany Bay,RC1,28/02/2007,After 1,NR,0,10,1
Botany Bay,RC2,28/02/2007,After 1,NR,0,0,NA
Lake Macquarie,AR1,8/09/2006,After 1,AR,1,4,0.8
Lake Macquarie,AR2,8/09/2006,After 1,AR,1,3,0.75
Lake Macquarie,AR3,8/09/2006,After 1,AR,3,0,0
Lake Macquarie,AR4,8/09/2006,After 1,AR,0,0,NA
Lake Macquarie,AR5,8/09/2006,After 1,AR,4,6,0.6
Lake Macquarie,AR6,8/09/2006,After 1,AR,3,5,0.625
Lake Macquarie,RC1,8/09/2006,After 1,NR,1,1,0.5
Lake Macquarie,RC2,8/09/2006,After 1,NR,0,0,NA
Lake Macquarie,RC3,8/09/2006,After 1,NR,2,0,0
Lake Macquarie,AR1,18/09/2006,After 1,AR,0,4,1
Lake Macquarie,AR2,18/09/2006,After 1,AR,0,14,1
Lake Macquarie,AR3,18/09/2006,After 1,AR,0,3,1
Lake Macquarie,AR5,18/09/2006,After 1,AR,4,2,0.333333333
Lake Macquarie,AR6,18/09/2006,After 1,AR,0,2,1
Lake Macquarie,RC1,18/09/2006,After 1,NR,1,0,0
Lake Macquarie,RC2,18/09/2006,After 1,NR,0,5,1
Lake Macquarie,RC3,18/09/2006,After 1,NR,4,0,0
Lake Macquarie,AR1,11/10/2006,After 1,AR,15,13,0.464285714
Lake Macquarie,AR2,11/10/2006,After 1,AR,1,9,0.9
Lake Macquarie,AR3,11/10/2006,After 1,AR,1,4,0.8
Lake Macquarie,AR4,11/10/2006,After 1,AR,3,2,0.4
Lake Macquarie,AR5,11/10/2006,After 1,AR,10,10,0.5
Lake Macquarie,AR6,11/10/2006,After 1,AR,0,5,1
Lake Macquarie,RC1,11/10/2006,After 1,NR,0,0,NA
Lake Macquarie,RC3,11/10/2006,After 1,NR,25,9,0.264705882
Lake Macquarie,AR1,20/10/2006,After 1,AR,0,8,1
Lake Macquarie,AR2,20/10/2006,After 1,AR,1,5,0.833333333
Lake Macquarie,AR3,20/10/2006,After 1,AR,2,2,0.5
Lake Macquarie,AR4,20/10/2006,After 1,AR,2,1,0.333333333
Lake Macquarie,AR5,20/10/2006,After 1,AR,2,5,0.714285714
Lake Macquarie,AR6,20/10/2006,After 1,AR,3,0,0
Lake Macquarie,RC2,20/10/2006,After 1,NR,0,2,1
Lake Macquarie,RC3,20/10/2006,After 1,NR,10,2,0.166666667
Lake Macquarie,AR1,6/11/2006,After 1,AR,8,7,0.466666667
Lake Macquarie,AR2,6/11/2006,After 1,AR,4,1,0.2
Lake Macquarie,AR3,6/11/2006,After 1,AR,8,9,0.529411765
Lake Macquarie,AR4,6/11/2006,After 1,AR,4,0,0
Lake Macquarie,AR5,6/11/2006,After 1,AR,7,3,0.3
Lake Macquarie,AR6,6/11/2006,After 1,AR,0,1,1
Lake Macquarie,RC1,6/11/2006,After 1,NR,0,0,NA
Lake Macquarie,RC2,6/11/2006,After 1,NR,0,0,NA
Lake Macquarie,RC3,6/11/2006,After 1,NR,4,21,0.84
Lake Macquarie,AR1,30/11/2006,After 1,AR,12,6,0.333333333
Lake Macquarie,AR2,30/11/2006,After 1,AR,3,0,0
Lake Macquarie,AR3,30/11/2006,After 1,AR,2,2,0.5
Lake Macquarie,AR4,30/11/2006,After 1,AR,0,13,1
Lake Macquarie,AR5,30/11/2006,After 1,AR,7,10,0.588235294
Lake Macquarie,AR6,30/11/2006,After 1,AR,6,0,0
Lake Macquarie,RC1,30/11/2006,After 1,NR,0,0,NA
Lake Macquarie,RC2,30/11/2006,After 1,NR,0,0,NA
St Georges Basin,AR1,18/10/2007,After 1,AR,0,3,1
St Georges Basin,AR2,18/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR3,18/10/2007,After 1,AR,0,1,1
St Georges Basin,AR4,18/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR5,18/10/2007,After 1,AR,0,0,NA
St Georges Basin,RC1,18/10/2007,After 1,NR,0,0,NA
St Georges Basin,RC2,18/10/2007,After 1,NR,1,0,0
St Georges Basin,RC3,18/10/2007,After 1,NR,5,0,0
St Georges Basin,AR1,30/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR2,30/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR3,30/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR4,30/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR5,30/10/2007,After 1,AR,1,1,0.5
St Georges Basin,AR6,30/10/2007,After 1,AR,0,0,NA
St Georges Basin,RC1,30/10/2007,After 1,NR,1,0,0
St Georges Basin,RC2,30/10/2007,After 1,NR,0,0,NA
St Georges Basin,RC3,30/10/2007,After 1,NR,2,0,0
St Georges Basin,AR1,31/10/2007,After 1,AR,2,0,0
St Georges Basin,AR2,31/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR4,31/10/2007,After 1,AR,0,0,NA
St Georges Basin,AR6,31/10/2007,After 1,AR,0,0,NA
St Georges Basin,RC1,31/10/2007,After 1,NR,5,0,0
St Georges Basin,RC3,31/10/2007,After 1,NR,8,0,0
St Georges Basin,AR1,20/11/2007,After 1,AR,0,17,1
St Georges Basin,AR2,20/11/2007,After 1,AR,0,2,1
St Georges Basin,AR3,20/11/2007,After 1,AR,0,2,1
St Georges Basin,AR4,20/11/2007,After 1,AR,3,1,0.25
St Georges Basin,AR5,20/11/2007,After 1,AR,11,0,0
St Georges Basin,AR6,20/11/2007,After 1,AR,0,1,1
St Georges Basin,RC1,20/11/2007,After 1,NR,0,0,NA
St Georges Basin,RC2,20/11/2007,After 1,NR,3,0,0
St Georges Basin,RC3,20/11/2007,After 1,NR,8,6,0.428571429
St Georges Basin,AR1,21/11/2007,After 1,AR,1,0,0
St Georges Basin,AR2,21/11/2007,After 1,AR,0,1,1
St Georges Basin,AR3,21/11/2007,After 1,AR,1,0,0
St Georges Basin,AR4,21/11/2007,After 1,AR,1,0,0
St Georges Basin,AR6,21/11/2007,After 1,AR,0,1,1
St Georges Basin,RC1,21/11/2007,After 1,NR,0,0,NA
St Georges Basin,RC2,21/11/2007,After 1,NR,9,0,0
St Georges Basin,RC3,21/11/2007,After 1,NR,9,7,0.4375
St Georges Basin,AR1,19/12/2007,After 1,AR,3,0,0
St Georges Basin,AR2,19/12/2007,After 1,AR,0,0,NA
St Georges Basin,AR3,19/12/2007,After 1,AR,1,3,0.75
St Georges Basin,AR4,19/12/2007,After 1,AR,1,0,0
St Georges Basin,AR5,19/12/2007,After 1,AR,0,1,1
St Georges Basin,AR6,19/12/2007,After 1,AR,0,3,1
St Georges Basin,RC1,19/12/2007,After 1,NR,1,0,0
St Georges Basin,RC2,19/12/2007,After 1,NR,0,0,NA
St Georges Basin,RC3,19/12/2007,After 1,NR,17,0,0
Botany Bay,AR3,15/01/2008,After 2,AR,10,0,0
Botany Bay,AR4,15/01/2008,After 2,AR,0,0,NA
Botany Bay,AR5,15/01/2008,After 2,AR,0,1,1
Botany Bay,AR6,15/01/2008,After 2,AR,0,5,1
Botany Bay,RC1,15/01/2008,After 2,NR,0,2,1
Botany Bay,RC2,15/01/2008,After 2,NR,0,0,NA
Botany Bay,RC3,15/01/2008,After 2,NR,0,0,NA
Botany Bay,AR3,25/01/2008,After 2,AR,25,2,0.074074074
Botany Bay,AR4,25/01/2008,After 2,AR,0,0,NA
Botany Bay,AR5,25/01/2008,After 2,AR,0,1,1
Botany Bay,AR6,25/01/2008,After 2,AR,0,1,1
Botany Bay,RC1,25/01/2008,After 2,NR,1,2,0.666666667
Botany Bay,RC2,25/01/2008,After 2,NR,0,1,1
Botany Bay,AR3,6/02/2008,After 2,AR,18,4,0.181818182
Botany Bay,AR5,6/02/2008,After 2,AR,0,1,1
Botany Bay,AR6,6/02/2008,After 2,AR,0,5,1
Botany Bay,RC2,6/02/2008,After 2,NR,0,13,1
Botany Bay,AR3,12/02/2008,After 2,AR,0,3,1
Botany Bay,AR4,12/02/2008,After 2,AR,1,12,0.923076923
Botany Bay,AR5,12/02/2008,After 2,AR,1,1,0.5
Botany Bay,AR6,12/02/2008,After 2,AR,8,8,0.5
Botany Bay,RC1,12/02/2008,After 2,NR,1,14,0.933333333
Botany Bay,RC2,12/02/2008,After 2,NR,0,0,NA
Botany Bay,RC3,12/02/2008,After 2,NR,9,2,0.181818182
Botany Bay,AR3,15/02/2008,After 2,AR,7,3,0.3
Botany Bay,AR4,15/02/2008,After 2,AR,5,0,0
Botany Bay,AR5,15/02/2008,After 2,AR,0,0,NA
Botany Bay,AR6,15/02/2008,After 2,AR,0,23,1
Lake Macquarie,AR1,4/10/2007,After 2,AR,4,0,0
Lake Macquarie,AR2,4/10/2007,After 2,AR,0,10,1
Lake Macquarie,AR4,4/10/2007,After 2,AR,4,6,0.6
Lake Macquarie,AR6,4/10/2007,After 2,AR,1,6,0.857142857
Lake Macquarie,RC2,4/10/2007,After 2,NR,1,7,0.875
Lake Macquarie,RC3,4/10/2007,After 2,NR,14,11,0.44
Lake Macquarie,AR1,5/10/2007,After 2,AR,17,6,0.260869565
Lake Macquarie,AR2,5/10/2007,After 2,AR,13,2,0.133333333
Lake Macquarie,AR3,5/10/2007,After 2,AR,5,8,0.615384615
Lake Macquarie,AR4,5/10/2007,After 2,AR,5,10,0.666666667
Lake Macquarie,AR5,5/10/2007,After 2,AR,1,0,0
Lake Macquarie,AR6,5/10/2007,After 2,AR,2,3,0.6
Lake Macquarie,RC1,5/10/2007,After 2,NR,2,0,0
Lake Macquarie,RC2,5/10/2007,After 2,NR,8,5,0.384615385
Lake Macquarie,RC3,5/10/2007,After 2,NR,16,12,0.428571429
Lake Macquarie,AR1,25/10/2007,After 2,AR,0,3,1
Lake Macquarie,AR2,25/10/2007,After 2,AR,17,7,0.291666667
