Estuary,Type,Lat,Long
Botany Bay,Natural,-33.9879,151.22829
Botany Bay,Natural,-34.0021,151.21646
Botany Bay,Natural,-33.99212,151.23243
Botany Bay,Artificial,-33.98232,151.2159
Botany Bay,Artificial,-33.98098,151.2185
Botany Bay,Artificial,-33.98233,151.2241
Botany Bay,Artificial,-33.9908,151.229
Botany Bay,Artificial,-33.99327,151.2335
Botany Bay,Artificial,-33.99423,151.2356
Lake Macquarie,Natural,-33.08505,151.60777
Lake Macquarie,Natural,-33.08734,151.59243
Lake Macquarie,Natural,-33.10036,151.61693
Lake Macquarie,Artificial,-33.09389,151.609
Lake Macquarie,Artificial,-33.094911,151.61113
Lake Macquarie,Artificial,-33.09644,151.611653
Lake Macquarie,Artificial,-33.096882,151.613998
Lake Macquarie,Artificial,-33.098702,151.613432
Lake Macquarie,Artificial,-33.100237,151.614884
St Georges Basin,Natural,-35.10977,150.59098
St Georges Basin,Natural,-35.1176,150.63763
St Georges Basin,Natural,-35.09906,150.58004
St Georges Basin,Artificial,-35.12172,150.6104
St Georges Basin,Artificial,-35.12485,150.615
St Georges Basin,Artificial,-35.12327,150.6194
St Georges Basin,Artificial,-35.1219,150.6239
St Georges Basin,Artificial,-35.1219,150.6284
St Georges Basin,Artificial,-35.12118,150.6328
