Before/After,Deployment Date,Days Post Deployment,CruiseStartDate,Location,Destination,Family,Genus species,STAGE,ACTIVITY,MAX N /Dive N,TIME max N,TIME first feed,REEF TYPE,temp ,tubidity ,current m/min,wave,wind,cloud,Time first seen
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,AD,P,1,17.68,,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR2,Sparidae,Acanthopagrus australis,JUV,P,1,9.27,,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,P,1,2.40,,Natural,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR6,Sparidae,Rhabdosargus sarba,AD,P,1,22.07,,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,F,1,2.48,2.52,Natural,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,JUV,F,4,10.02,2.58,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,JUV,F,4,8.93,4.43,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,JUV,F,1,6.15,6.17,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,AD,F,2,17.53,7.82,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,JUV,F,1,11.08,11.15,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,RC1,Sparidae,Acanthopagrus australis,AD,F,1,11.40,11.42,Natural,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR2,Sparidae,Pagrus auratus,JUV,F,2,1.08,16.03,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,AD,F,2,16.78,16.07,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,RC1,Sparidae,Pagrus auratus,JUV,F,1,18.02,18.03,Natural,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR6,Sparidae,Pagrus auratus,JUV,F,3,27.38,18.32,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR6,Sparidae,Acanthopagrus australis,AD,F,2,17.73,18.57,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR2,Sparidae,Rhabdosargus sarba,AD,F,1,21.28,21.28,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR6,Sparidae,Acanthopagrus australis,JUV,F,2,17.60,23.95,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,265,8 September 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,AD,F,3,24.75,25.28,Artificial,17.1,3,9.5,2,30,100,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,RC1,Sparidae,Acanthopagrus australis,AD,"P,SC",1,11.38,,Natural,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,P,4,29.67,,Natural,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,SC1,Sparidae,Acanthopagrus australis,AD,"P,SC",2,24.52,,Sand,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR2,Sparidae,Pagrus auratus,JUV,F,12,25.80,1.68,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,AD,F,3,4.50,4.37,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR2,Sparidae,Rhabdosargus sarba,JUV,F,2,5.22,4.97,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,RC2,Sparidae,Acanthopagrus australis,JUV,"SC,F",5,20.65,8.17,Natural,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR3,Sparidae,Pagrus auratus,JUV,F,3,9.40,8.68,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,SC3,Sparidae,Acanthopagrus australis,AD,"SC,F",4,11.87,10.35,Sand,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,JUV,F,2,13.85,12.42,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,JUV,"SC,F",4,11.78,15.03,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,AD,F,1,19.10,19.10,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,275,18 September 2006,Lake Macquarie,AR6,Sparidae,Pagrus auratus,JUV,F,2,21.20,21.20,Artificial,18.6,3,0,0,15,20,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,JUV,"P,SC",3,9.23,,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,AD,"P,SC",4,28.32,,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,AD,"P,SC",1,11.77,,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,SC3,Sparidae,Acanthopagrus australis,AD,"P,SC",4,27.07,,Sand,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,SC2,Sparidae,Acanthopagrus australis,AD,"P,SC",7,31.43,,Sand,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,RC3,Sparidae,Pagrus auratus,JUV,"P,SC",1,0.55,,Natural,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR4,Sparidae,Rhabdosargus sarba,JUV,"P,SC",1,14.40,,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,JUV,P,3,10.70,,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR3,Sparidae,Pagrus auratus,JUV,F,3,0.25,0.17,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR4,Sparidae,Pagrus auratus,JUV,F,1,0.53,0.50,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,F,14,10.80,0.68,Natural,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR2,Sparidae,Pagrus auratus,JUV,"F,SC",5,11.78,2.02,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR4,Sparidae,Acanthopagrus australis,AD,F,3,18.30,2.78,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR6,Sparidae,Pagrus auratus,JUV,"F,SC",4,11.95,4.23,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,"F,SC",11,10.80,4.58,Natural,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,JUV,"F,SC",8,4.80,4.68,Natural,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,JUV,F,5,28.55,6.13,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR2,Sparidae,Rhabdosargus sarba,JUV,"F,SC",3,12.68,6.68,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,SC1,Sparidae,Acanthopagrus australis,AD,"F,SC",3,4.77,6.78,Sand,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Rhabdosargus sarba,AD,F,7,16.00,8.07,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,AD,F,5,11.57,8.27,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,JUV,"F,SC",1,0.80,8.28,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,AD,F,5,28.12,8.30,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,JUV,"F,SC",5,11.42,8.58,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR2,Sparidae,Acanthopagrus australis,JUV,"F,SC",1,4.88,9.82,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,AD,F,3,10.90,10.90,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR1,Sparidae,Rhabdosargus sarba,JUV,"F,SC",5,13.60,10.93,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR2,Sparidae,Acanthopagrus australis,AD,"F,SC",1,21.67,21.67,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,AD,"F,SC",1,24.18,24.22,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,SC3,Sparidae,Acanthopagrus australis,AD,F,4,27.02,24.83,Sand,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,JUV,F,2,29.38,27.62,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,298,11 October 2006,Lake Macquarie,AR6,Sparidae,Acanthopagrus australis,JUV,F,1,30.62,30.62,Artificial,20.5,4,2.2,0,5,0,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,JUV,P,4,14.27,,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR2,Sparidae,Rhabdosargus sarba,AD,P,1,15.68,,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR4,Sparidae,Pagrus auratus,JUV,P,1,0.90,,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,RC2,Sparidae,Rhabdosargus sarba,JUV,P,2,8.72,,Natural,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR2,Sparidae,Pagrus auratus,JUV,F,5,8.23,0.80,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR3,Sparidae,Pagrus auratus,JUV,F,2,1.90,1.38,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,F,10,9.37,1.57,Natural,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,JUV,F,3,4.30,2.05,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR1,Sparidae,Rhabdosargus sarba,JUV,F,4,12.85,2.48,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,SC2,Sparidae,Acanthopagrus australis,AD,F,3,27.70,2.48,Sand,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR6,Sparidae,Acanthopagrus australis,AD,F,3,19.38,4.03,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,AD,F,2,7.23,4.05,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,AD,F,2,5.83,4.33,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,RC3,Sparidae,Pagrus auratus,JUV,F,2,4.72,4.68,Natural,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR4,Sparidae,Acanthopagrus australis,AD,F,2,6.78,6.70,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,JUV,F,2,17.37,9.63,Artificial,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,SC1,Sparidae,Acanthopagrus australis,AD,F,5,18.88,11.43,Sand,21.6,4,4.17,0,5,100,
After1,13-Dec-05,307,20 October 2006,Lake Macquarie,SC3,Sparidae,Acanthopagrus australis,AD,F,5,26.78,11.47,Sand,21.6,4,4.17,0,5,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR2,Sparidae,Acanthopagrus australis,JUV,,1,12.18,12.22,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR4,Sparidae,Rhabdosargus sarba,AD,,1,22.72,,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR1,Sparidae,Rhabdosargus sarba,AD,,4,10.52,6.22,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,JUV,,4,24.82,,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR2,Sparidae,Acanthopagrus australis,AD,,3,26.82,10.98,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR2,Sparidae,Pagrus auratus,AD,,1,3.30,5.43,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR3,Sparidae,Rhabdosargus sarba,AD,,4,18.77,9.42,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,AD,,3,11.95,9.02,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR3,Sparidae,Pagrus auratus,JUV,,5,8.27,7.48,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,JUV,,3,5.75,2.37,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR3,Sparidae,Rhabdosargus sarba,AD,,2,26.92,26.88,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,JUV,,4,22.00,14.97,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR4,Sparidae,Acanthopagrus australis,AD,,3,21.35,16.40,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR5,Sparidae,Acanthopagrus australis,AD,,3,12.52,9.93,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR3,Sparidae,Acanthopagrus australis,AD,,2,27.58,27.58,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,SC1,Sparidae,Acanthopagrus australis,JUV,,1,23.35,23.37,Sand,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,AD,,4,19.10,1.50,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR1,Sparidae,Pagrus auratus,JUV,,3,10.95,7.70,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,SC2,Sparidae,Acanthopagrus australis,AD,,4,30.32,6.95,Sand,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR5,Sparidae,Rhabdosargus sarba,AD,,1,6.52,6.52,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,SC1,Sparidae,Acanthopagrus australis,AD,,5,21.22,3.40,Sand,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,JUV,,21,18.65,2.77,Natural,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,RC3,Sparidae,Acanthopagrus australis,AD,,4,11.37,2.72,Natural,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,AR6,Sparidae,Pagrus auratus,JUV,,1,1.43,2.48,Artificial,20.8,2,12.7,1,25,100,
After1,13-Dec-05,323,6 November 2006,Lake Macquarie,SC2,Sparidae,Pagrus auratus,JUV,,1,24.65,24.65,Sand,20.8,2,12.7,1,25,100,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR5,Sparidae,Pagrus auratus,AD,"P,SC",1,18.50,,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR6,Sparidae,Pagrus auratus,AD,F,3,21.25,0.52,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR3,Sparidae,Pagrus auratus,JUV,F,2,19.20,0.62,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR6,Sparidae,Acanthopagrus australis,AD,F,3,21.45,0.80,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR4,Sparidae,Pagrus auratus,JUV,"F,CI",4,14.22,0.97,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR1,Sparidae,Acanthopagrus australis,AD,F,7,10.15,1.55,Artificial,23.01,2,4.4,0,15,50,
After1,13-Dec-05,347,30 November 2006,Lake Macquarie,AR1,Sparidae,Rhabdosargus sarba,AD,F,5,7.38,5.32,Artificial,23.01,2,4.4,0,15,50,
