"Before.After.x","Habitat","Location","rate","SE","df","lower.CL","upper.CL"
"Before","Artifical Reef","Botany Bay",1.21496939210221,0.623270886795415,352,0.442994441998645,3.33221025772986
"After 1","Artifical Reef","Botany Bay",2.42966229935226,1.15263070863648,352,0.955747265040639,6.17658988398225
"After 2","Artifical Reef","Botany Bay",3.10502100744632,1.42647914307635,352,1.25795309270668,7.66416133684168
"Before","Natural Reef","Botany Bay",0.857540021992712,0.456754992594929,352,0.300823148343566,2.44454222811138
"After 1","Natural Reef","Botany Bay",0.595692587940678,0.379398681083033,352,0.170223106170531,2.08461511078274
"After 2","Natural Reef","Botany Bay",3.34651938777386,1.95744884439916,352,1.05922944985229,10.5729613298687
"Before","Artifical Reef","Lake Macquarie",0.0453977482325372,0.0504359677934785,352,0.00510627397551648,0.403612409844573
"After 1","Artifical Reef","Lake Macquarie",4.59322559240262,1.63921797700644,352,2.27664430192212,9.26702573822799
"After 2","Artifical Reef","Lake Macquarie",6.69682715016828,2.38307010830255,352,3.32600905053916,13.4838760802413
"Before","Natural Reef","Lake Macquarie",0.63534035086323,0.345591730352812,352,0.217971697561738,1.85187969791666
"After 1","Natural Reef","Lake Macquarie",1.78661406083413,0.914165003413764,352,0.653115310285702,4.88732962173848
"After 2","Natural Reef","Lake Macquarie",3.51118749265084,1.71565676094429,352,1.3430741662217,9.1792679202741
"Before","Artifical Reef","St Georges Basin",2.11851190730323e-09,8.51138586933533e-06,352,2.22044604925031e-16,Inf
"After 1","Artifical Reef","St Georges Basin",0.750956927912914,0.320430694392656,352,0.324457025435764,1.73809245407155
"After 2","Artifical Reef","St Georges Basin",1.43982069540694,0.519939271785166,352,0.707729303986284,2.92920417911972
"Before","Natural Reef","St Georges Basin",0.427202549128625,0.233735656476074,352,0.145649322637442,1.25302345851816
"After 1","Natural Reef","St Georges Basin",0.45454162517671,0.267489093062352,352,0.142866203057811,1.44616490531831
"After 2","Natural Reef","St Georges Basin",1.47436846608277,0.789791834922589,352,0.514114633876518,4.22816669774346
