,Acanthopagrus australis,Achoerodus viridis,Anoplocapros inermis,Apogon fasciatus,Apogon limenus,Aptychotrema rostrata,Atherinomorus vaigiensis ,Atypichthys strigatus,Aulopus purpurissatus,Canthigaster callisterna,Centropogon australis,Cheilodactylus fuscus,Cheilodactylus vestitus,Chelmonops truncatus,Cnidoglanis macrocephalus,Coris dorsomacula,Coris picta,Dicotylichthys punctulatus,Dinolestes lewini,Eupetrichthys angustipes,Fistularia petimba,Gerres subfasciatus,Girella tricuspidata,Gobiidae sp.,Gymnothorax prasinus,Heterodontus portusjacksoni,Hypnos monopterygium,Hypoplectrodes maccullochi,Mecaenichthys immaculatus,Meuschenia freycineti,Meuschenia trachylepis,Microcanthus strigatus,Monacanthus chinensis,Mugil cephalus,Nelusetta ayraudi,Nemadactylus douglasi,no fish,Notalabrus gymnogenis,Octopus tetricus,Odax cyanomelas,Ophthalmolepis lineolatus,Pagrus auratus,Parapeneus signatus,Parapercis ramsayi,Parma microlepis,Parupeneus multifasciatus,Parupeneus signatus,Pelates sexlineatus,Pempheris affinis,Phyllopteryx taeniloatus,Pictilabrus laticlavius,Platycephalus fuscus,Portunus pelagicus,Prionurus microlepidotus ,Pseudocaranx dentex,Pseudorhombus arsius,Rhabdosargus sarba,Scobinichthys granulatus,Scorpis lineolata,Sepia apama,Seriola dumerili,Seriola hippos,Seriola lalandi,Sillago ciliata,Goby Sp.,Squatina australis,Thalassoma lunare,Trachinocephalus myops ,Trachurus novaezelandiae,Trygonorrhina fasciata,Tylosurus gavialoides,Upeneichthys lineatus,Upeneichthys tragula,Upeneichthys vlamingii,Location,Impact/Control,Site,Before/After,Year,Time,Habitat,Season,After 1 & 2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,8/09/2006,AR,N/A,After 1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,18/09/2006,AR,N/A,After 1
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,11/10/2006,AR,N/A,After 1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,20/10/2006,AR,N/A,After 1
5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,6/11/2006,AR,N/A,After 1
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Macquarie,Impact,AR1,After,2,30/11/2006,AR,N/A,After 1
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,St Georges Basin,Impact,AR1,After,2,18/10/2007,AR,N/A,After 1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,St Georges Basin,Impact,AR1,After,2,30/10/2007,AR,N/A,After 1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,St Georges Basin,Impact,AR1,After,2,31/10/2007,AR,N/A,After 1
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St Georges Basin,Impact,AR1,After,2,20/11/2007,AR,N/A,After 1
